,Silhouette Score (↑),Calinski-Harabasz Score (↑),Davies-Bouldin Score (↓),Stability Score (↑)
kmeans,0.3299610969743143,3970.455336121766,1.3089076030594158,1.0
dbscan,0.33223406823684454,3998.018683143546,1.3013608496995912,0.9998628352766602
hdbscan,0.3451319230743678,3915.245855758164,1.259907423773499,1.0
